蜀小果ipv6,#genre#
南充综合,https://php.ntnas.top/api/sxg.php?id=ncxwzh_2000
南江电视台,https://php.ntnas.top/api/sxg.php?id=njxw_2000
南溪综合,https://php.ntnas.top/api/sxg.php?id=nxt_2000
内江公共,https://php.ntnas.top/api/sxg.php?id=njgg_4000
内江综合,https://php.ntnas.top/api/sxg.php?id=njzh_4000
宁南综合,https://php.ntnas.top/api/sxg.php?id=nnt_4000
攀钢新闻综合,https://php.ntnas.top/api/sxg.php?id=pgxwzh_2000
攀枝花新闻综合,https://php.ntnas.top/api/sxg.php?id=pzhytH265_4000
彭山综合,https://php.ntnas.top/api/sxg.php?id=pszh_2000
彭州综合,https://php.ntnas.top/api/sxg.php?id=pzxwzh_2000
蓬安综合,https://php.ntnas.top/api/sxg.php?id=pazh_2000
蓬溪新闻综合,https://php.ntnas.top/api/sxg.php?id=pxxw_2000
平昌综合,https://php.ntnas.top/api/sxg.php?id=pcxw_2000
平武综合,https://php.ntnas.top/api/sxg.php?id=pwgq_4000
屏山综合,https://php.ntnas.top/api/sxg.php?id=psxwzh_2000
蒲江综合,https://php.ntnas.top/api/sxg.php?id=pjxw_4000
普格综合,https://php.ntnas.top/api/sxg.php?id=pgt_4000
前锋,https://php.ntnas.top/api/sxg.php?id=qfxw_2000
青白江综合,https://php.ntnas.top/api/sxg.php?id=qbjxwzh_2000
青川综合,https://php.ntnas.top/api/sxg.php?id=qcxwzhH265_4000
青神综合,https://php.ntnas.top/api/sxg.php?id=qszh_2000
渠县新闻综合,https://php.ntnas.top/api/sxg.php?id=qxxwzh_2000
仁和新闻,https://php.ntnas.top/api/sxg.php?id=rhxwH264_2000
荣县综合,https://php.ntnas.top/api/sxg.php?id=rxzh_2000
三台TV,https://php.ntnas.top/api/sxg.php?id=stxwHD_2000
射洪综合,https://php.ntnas.top/api/sxg.php?id=shzhH264_2000
石棉,https://php.ntnas.top/api/sxg.php?id=smxwzh_2000
什邡新闻综合,https://php.ntnas.top/api/sxg.php?id=sfx_2000
双流综合,https://php.ntnas.top/api/sxg.php?id=slgq_2000
松潘,https://php.ntnas.top/api/sxg.php?id=spxwzhpdH264_2000
遂宁综合,https://php.ntnas.top/api/sxg.php?id=snxwzhHDH265_4000
天全新闻,https://php.ntnas.top/api/sxg.php?id=tqzh_2000
通川区,https://php.ntnas.top/api/sxg.php?id=xcxwzhH264_2000
通江综合,https://php.ntnas.top/api/sxg.php?id=tjxwH265_4000
万源,https://php.ntnas.top/api/sxg.php?id=wyxwzh_2000
旺苍新闻综合,https://php.ntnas.top/api/sxg.php?id=wcxwzhH265_4000
温江综合频道,https://php.ntnas.top/api/sxg.php?id=wjytH264_2000
武胜综合,https://php.ntnas.top/api/sxg.php?id=wsxw_2000
五通桥,https://php.ntnas.top/api/sxg.php?id=wtqxwzh_2000
西昌,https://php.ntnas.top/api/sxg.php?id=xctHD_2000
西充综合,https://php.ntnas.top/api/sxg.php?id=xczh_2000
喜德,https://php.ntnas.top/api/sxg.php?id=xdxw_4000
新都综合,https://php.ntnas.top/api/sxg.php?id=xdzhpd_2000
新津,https://php.ntnas.top/api/sxg.php?id=xjzh_4000
兴文电视台,https://php.ntnas.top/api/sxg.php?id=xwt_2000
叙永电视台,https://php.ntnas.top/api/sxg.php?id=xyxw_2000
叙州新闻综合,https://php.ntnas.top/api/sxg.php?id=ybx_2000
宣汉综合,https://php.ntnas.top/api/sxg.php?id=xhxwzh_2000
雅安公共,https://php.ntnas.top/api/sxg.php?id=yagg_2000
雅安新闻综合,https://php.ntnas.top/api/sxg.php?id=yazh_2000
雅安雨城,https://php.ntnas.top/api/sxg.php?id=ycpd_2000
盐边电视台,https://php.ntnas.top/api/sxg.php?id=ybtgq_2000
盐亭1,https://php.ntnas.top/api/sxg.php?id=ytzh_2000
雁江,https://php.ntnas.top/api/sxg.php?id=yjxw_2000
仪陇新闻综合,https://php.ntnas.top/api/sxg.php?id=ylxw_2000
宜宾公共,https://php.ntnas.top/api/sxg.php?id=ybetH264_2000
宜宾新闻综合,https://php.ntnas.top/api/sxg.php?id=ybytH264_2000
营山,https://php.ntnas.top/api/sxg.php?id=ysxw_2000
越西综合,https://php.ntnas.top/api/sxg.php?id=yxt_4000
岳池,https://php.ntnas.top/api/sxg.php?id=ycxw_2000
昭化综合,https://php.ntnas.top/api/sxg.php?id=zhxwzh_2000
中江新闻综合,https://php.ntnas.top/api/sxg.php?id=zjxwzh_2000
资阳新闻综合,https://php.ntnas.top/api/sxg.php?id=zyxwzh_2000
资中综合,https://php.ntnas.top/api/sxg.php?id=zzzh_2000
自贡文化生活,https://php.ntnas.top/api/sxg.php?id=zggg_4000
自贡综合,https://php.ntnas.top/api/sxg.php?id=zgxw_4000
郫县新闻综合,https://php.ntnas.top/api/sxg.php?id=pxds1_2000
荥经电视台,https://php.ntnas.top/api/sxg.php?id=xjdst_2000
阆中综合,https://php.ntnas.top/api/sxg.php?id=lzxw_2000
沐川综合,https://php.ntnas.top/api/sxg.php?id=mcxw_2000
泸定综合频道,https://php.ntnas.top/api/sxg.php?id=ldxw_4000
泸县综合,https://php.ntnas.top/api/sxg.php?id=lxxwzh_2000
泸州公共,https://php.ntnas.top/api/sxg.php?id=lzgg_2000
珙县新闻,https://php.ntnas.top/api/sxg.php?id=gxzh_2000
梓潼综合,https://php.ntnas.top/api/sxg.php?id=ztgq_2000
犍为新闻综合,https://php.ntnas.top/api/sxg.php?id=qwxwzh_2000
筠连TV,https://php.ntnas.top/api/sxg.php?id=ylyt_2000
CGTN-俄语,https://php.ntnas.top/api/sxg.php?id=ey_2000
CGTN-法语,https://php.ntnas.top/api/sxg.php?id=fy_2000
CGTN-西语,https://php.ntnas.top/api/sxg.php?id=xbyy_2000
CGTN-英语,https://php.ntnas.top/api/sxg.php?id=CGTN_4000
风尚购物,https://php.ntnas.top/api/sxg.php?id=fsgw_4000
家家购物,https://php.ntnas.top/api/sxg.php?id=jjgw_4000
家有购物,https://php.ntnas.top/api/sxg.php?id=jygw_4000
央广购物,https://php.ntnas.top/api/sxg.php?id=yggwgq_4000
优购物,https://php.ntnas.top/api/sxg.php?id=ygw_4000
上海移动ipv6,#genre#
CCTV1-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001022/1.m3u8
CCTV2-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001220/1.m3u8
CCTV3-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001186/1.m3u8
CCTV4-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001221/1.m3u8
CCTV5-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001187/1.m3u8
CCTV6-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001188/1.m3u8
CCTV7-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001236/1.m3u8
CCTV8-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001189/1.m3u8
CCTV9-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001237/1.m3u8
CCTV10-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001238/1.m3u8
CCTV11-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001309/1.m3u8
CCTV12-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001239/1.m3u8
CCTV13-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001328/1.m3u8
CCTV14-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001240/1.m3u8
CCTV15-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001338/1.m3u8
CCTV16-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001248/1.m3u8
CCTV16-14M2160HEVC,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001258/1.m3u8
CCTV17-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001241/1.m3u8
湖南卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001026/1.m3u8
浙江卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001023/1.m3u8
江苏卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001033/1.m3u8
北京卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001029/1.m3u8
东方卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001013/1.m3u8
东南卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001201/1.m3u8
安徽卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001037/1.m3u8
甘肃卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001298/1.m3u8
广东卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001032/1.m3u8
广西卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001224/1.m3u8
贵州卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001184/1.m3u8
海南卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001183/1.m3u8
河北卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001229/1.m3u8
河南卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001222/1.m3u8
黑龙江卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001031/1.m3u8
湖北卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001027/1.m3u8
吉林卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001225/1.m3u8
江西卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001034/1.m3u8
辽宁卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001035/1.m3u8
山东卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001028/1.m3u8
深圳卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001030/1.m3u8
四川卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001130/1.m3u8
天津卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001036/1.m3u8
云南卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001223/1.m3u8
重庆卫视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001129/1.m3u8
上海ICS外语-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001128/1.m3u8
上海第一财经-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001017/1.m3u8
上海东方财经-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001318/1.m3u8
上海东方影视-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001016/1.m3u8
上海都市-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001015/1.m3u8
上海哈哈炫动-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001232/1.m3u8
上海纪实人文-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001019/1.m3u8
上海教育-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001268/1.m3u8
上海五星体育-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001018/1.m3u8
上海新闻综合-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001014/1.m3u8
湖南茶频道-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001234/1.m3u8
湖南金鹰纪实-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001230/1.m3u8
湖南快乐垂钓-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001235/1.m3u8
中国教育1-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001020/1.m3u8
中国教育4-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001348/1.m3u8
北京纪实科教-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001231/1.m3u8
北京卡酷少儿-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001245/1.m3u8
SiTV动漫秀场-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001196/1.m3u8
SiTV都市剧场-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001203/1.m3u8
SiTV法治天地-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001195/1.m3u8
SiTV欢笑剧场-7.7M1080,http://[2409:8087:1e04:21::102]:6060/cms001/ch00000090990000001193/1.m3u8
